step,time,action,reward,entropy,state,next_state,position
25,3000.0,"[0.0, 0.0, 0.0]",0.0057634006894584765,1148.2786312115613,"[0.0, 2.857142857142857e-05, 1.4285714285714285e-05, 0.0, 7.142857142857143e-06, 0.0]","[0.0, 2.857142857142857e-05, 1.4285714285714285e-05, 0.0, 7.142857142857143e-06, 0.0]","[81.61793470198242, 84.4402711151859, -28.88993222120352]"
26,3120.0,"[0.0, 0.0, 0.0]",0.08354979911726647,755.574915468813,"[0.0, 2.857142857142857e-05, 1.4285714285714285e-05, 0.0, 7.142857142857143e-06, 0.0]","[0.0, 2.857142857142857e-05, 1.4285714285714285e-05, 0.0, 7.142857142857143e-06, 0.0]","[73.4823522823295, 64.34832985833717, -33.91291753541571]"
27,3240.0,"[0.0, 0.0, 0.0]",0.014800589102052836,686.0086640000334,"[0.0, 2.857142857142857e-05, 1.4285714285714285e-05, 0.0, 7.142857142857143e-06, 0.0]","[0.0, 2.857142857142857e-05, 1.4285714285714285e-05, 0.0, 7.142857142857143e-06, 0.0]","[64.11881195259284, 46.52325317771372, -38.369186705571565]"
28,3360.0,"[0.0, 0.0, 0.0]",0.00885396242887126,644.3929571808667,"[0.0, 2.857142857142857e-05, 1.4285714285714285e-05, 0.0, 7.142857142857143e-06, 0.0]","[0.0, 2.857142857142857e-05, 1.4285714285714285e-05, 0.0, 7.142857142857143e-06, 0.0]","[53.68378711158408, 31.26291455215757, -42.184271361960604]"
29,3480.0,"[0.0, 0.0, 0.0]",0.010323924602204416,595.8680822539586,"[0.0, 2.857142857142857e-05, 1.4285714285714285e-05, 0.0, 7.142857142857143e-06, 0.0]","[0.0, 2.857142857142857e-05, 1.4285714285714285e-05, 0.0, 7.142857142857143e-06, 0.0]","[42.35165665297549, 18.822328321081716, -45.29441791972957]"
30,3600.0,"[0.0, 0.0, 0.0]",0.00958365206625713,550.8226624376581,"[0.0, 2.857142857142857e-05, 1.4285714285714285e-05, 0.0, 7.142857142857143e-06, 0.0]","[0.0, 2.857142857142857e-05, 1.4285714285714285e-05, 0.0, 7.142857142857143e-06, 0.0]","[30.311790933084712, 9.409388159553195, -47.6476529601117]"
31,3720.0,"[0.0, 0.0, 0.0]",0.008110768754468995,512.700140767203,"[0.0, 2.857142857142857e-05, 1.4285714285714285e-05, 0.0, 7.142857142857143e-06, 0.0]","[0.0, 2.857142857142857e-05, 1.4285714285714285e-05, 0.0, 7.142857142857143e-06, 0.0]","[17.76538721748477, 3.1813929831548684, -49.20465175421128]"
32,3840.0,"[0.0, 0.0, 0.0]",0.004280056614896886,492.58286754790714,"[0.0, 2.857142857142857e-05, 1.4285714285714285e-05, 0.0, 7.142857142857143e-06, 0.0]","[0.0, 2.857142857142857e-05, 1.4285714285714285e-05, 0.0, 7.142857142857143e-06, 0.0]","[4.92210748904843, 0.2424183379639011, -49.93939541550902]"
33,3960.0,"[0.0, 0.0, 0.0]",0.016066526738305255,417.06641130416267,"[0.0, 2.857142857142857e-05, 1.4285714285714285e-05, 0.0, 7.142857142857143e-06, 0.0]","[0.0, 2.857142857142857e-05, 1.4285714285714285e-05, 0.0, 7.142857142857143e-06, 0.0]","[-8.00342519724411, 0.6415772021445831, -49.83960569946385]"
34,4080.0,"[0.0, 0.0, 0.0]",0.004580957161268673,395.534834712774,"[0.0, 2.857142857142857e-05, 1.4285714285714285e-05, 0.0, 7.142857142857143e-06, 0.0]","[0.0, 2.857142857142857e-05, 1.4285714285714285e-05, 0.0, 7.142857142857143e-06, 0.0]","[-20.79521326359091, 4.37219926276558, -48.9069501843086]"
35,4200.0,"[0.0, 0.0, 0.0]",0.006497104528435973,364.9969146119157,"[0.0, 2.857142857142857e-05, 1.4285714285714285e-05, 0.0, 7.142857142857143e-06, 0.0]","[0.0, 2.857142857142857e-05, 1.4285714285714285e-05, 0.0, 7.142857142857143e-06, 0.0]","[-33.2394941281978, 11.371942382884026, -47.15701440427899]"
36,4320.0,"[0.0, 0.0, 0.0]",0.010480395679738743,315.7365888017834,"[0.0, 2.857142857142857e-05, 1.4285714285714285e-05, 0.0, 7.142857142857143e-06, 0.0]","[0.0, 2.857142857142857e-05, 1.4285714285714285e-05, 0.0, 7.142857142857143e-06, 0.0]","[-45.12831237526239, 21.523834396177804, -44.619041400955545]"
37,4440.0,"[0.0, 0.0, 0.0]",0.009451506363878412,271.31228488153334,"[0.0, 2.857142857142857e-05, 1.4285714285714285e-05, 0.0, 7.142857142857143e-06, 0.0]","[0.0, 2.857142857142857e-05, 1.4285714285714285e-05, 0.0, 7.142857142857143e-06, 0.0]","[-56.262994881856685, 34.65822781977726, -41.33544304505568]"
38,4560.0,"[0.0, 0.0, 0.0]",0.005467607240534634,245.61324428221042,"[0.0, 2.857142857142857e-05, 1.4285714285714285e-05, 0.0, 7.142857142857143e-06, 0.0]","[0.0, 2.857142857142857e-05, 1.4285714285714285e-05, 0.0, 7.142857142857143e-06, 0.0]","[-66.45747082913009, 50.55563482024053, -37.36109129493986]"
