time,step,state,action,reward,next_state,entropy_before,entropy_after,info_gain,dv_cost,predicted_value,root_N,parallel_time
4680.0,39,"[1.7096499599754714e-05, -0.000466487019103579, 4.996314796754517e-06, 6.680942421957832e-05, -2.287047127889149e-06, -4.771562018588391e-06]","[0.0, 0.0, 0.0]",0.0,"[-3.2735402610062874e-05, -0.0007094063845769545, 3.2451407261170157e-06, -6.691734743523196e-05, -4.3664219216984376e-06, -2.9887703598859264e-06]",178.99974060058594,178.99974060058594,0.0,0.0,-0.36225438525279674,1000,121.32486391067505
4800.0,40,"[-3.2735402610062874e-05, -0.0007094063845769545, 3.2451407261170157e-06, -6.691734743523196e-05, -4.3664219216984376e-06, -2.9887703598859264e-06]","[0.0, 0.0, 0.0]",0.0,"[3.2368931178053514e-05, -0.00048143010314237396, 5.832153147159463e-06, 6.674165352887153e-05, -5.2758174877750775e-06, -4.051400968899507e-07]",178.99974060058594,178.99974060058594,0.0,0.0,-0.3684865810843561,1000,130.7240219116211
4920.0,41,"[3.2368931178053514e-05, -0.00048143010314237396, 5.832153147159463e-06, 6.674165352887153e-05, -5.2758174877750775e-06, -4.051400968899507e-07]","[-0.01, -0.0, -0.0]",-0.01,"[-1.5706372931519557e-05, -0.0006661322056525148, -3.202238961372241e-05, -6.025298640018322e-05, -4.77156201858839e-06, 2.2870471278891545e-06]",178.99974060058594,178.99974060058594,0.0,0.01,-0.3632483225564209,1000,121.23930406570435
5040.0,42,"[-1.5706372931519557e-05, -0.0006661322056525148, -3.202238961372241e-05, -6.025298640018322e-05, -4.77156201858839e-06, 2.2870471278891545e-06]","[0.0, 0.0, 0.0]",0.0,"[-1.9605411944187637e-05, -0.0005881294124966234, 6.204406627289599e-05, 2.839700066975726e-05, -2.9887703598859234e-06, 4.366421921698442e-06]",178.99974060058594,178.99974060058594,0.0,0.0,-0.35486612940810763,1000,119.25673079490662
5160.0,43,"[-1.9605411944187637e-05, -0.0005881294124966234, 6.204406627289599e-05, 2.839700066975726e-05, -2.9887703598859234e-06, 4.366421921698442e-06]","[0.0, 0.0, 0.0]",0.0,"[5.998072276567972e-05, -0.0005137226026025429, -6.044240109114609e-05, 3.166341669894023e-05, -4.051400968899467e-07, 5.275817487775079e-06]",178.99974060058594,178.99974060058594,0.0,0.0,-0.3727466904091066,1000,127.25226640701294
5280.0,44,"[5.998072276567972e-05, -0.0005137226026025429, -6.044240109114609e-05, 3.166341669894023e-05, -4.051400968899467e-07, 5.275817487775079e-06]","[0.0, 0.0, 0.0]",0.0,"[-5.8376600002397116e-05, -0.0006465934711174681, -5.6068636214160995e-06, -6.800307998204608e-05, 2.287047127889158e-06, 4.7715620185883875e-06]",178.99974060058594,178.99974060058594,0.0,0.0,-0.3600540905122409,1000,132.43491554260254
5400.0,45,"[-5.8376600002397116e-05, -0.0006465934711174681, -5.6068636214160995e-06, -6.800307998204608e-05, 2.287047127889158e-06, 4.7715620185883875e-06]","[-0.01, -0.0, -0.0]",-0.01,"[-1.824472855246423e-05, -0.0006276826346420227, 6.68159548876147e-05, 3.7766893170061358e-06, 4.366421921698443e-06, 2.9887703598859188e-06]",178.99974060058594,178.99974060058594,0.0,0.01,-0.36862897113818915,1000,132.47206902503967
5520.0,46,"[-1.824472855246423e-05, -0.0006276826346420227, 6.68159548876147e-05, 3.7766893170061358e-06, 4.366421921698443e-06, 2.9887703598859188e-06]","[0.0, 0.0, 0.0]",0.0,"[6.460552455875653e-05, -0.0005702147874342707, 4.0590635893184155e-06, 6.679939530054758e-05, 5.2758174877750775e-06, 4.05140096889942e-07]",178.99974060058594,178.99974060058594,0.0,0.0,-0.36331065594555634,1000,128.12954235076904
5640.0,47,"[6.460552455875653e-05, -0.0005702147874342707, 4.0590635893184155e-06, 6.679939530054758e-05, 5.2758174877750775e-06, 4.05140096889942e-07]","[0.0, 0.0, 0.0]",0.0,"[3.269506924181337e-05, -0.000574397317594635, -6.064586207734392e-05, 2.8296901290366228e-05, 4.771562018588385e-06, -2.287047127889161e-06]",178.99974060058594,178.99974060058594,0.0,0.0,-0.35753554565253365,1000,128.39005780220032
5760.0,48,"[3.269506924181337e-05, -0.000574397317594635, -6.064586207734392e-05, 2.8296901290366228e-05, 4.771562018588385e-06, -2.287047127889161e-06]","[0.0, 0.0, 0.0]",0.0,"[-3.5271919745938395e-05, -0.0005736270322705612, -5.874190156793886e-05, -3.206281662492451e-05, 2.988770359885916e-06, -4.366421921698444e-06]",178.99974060058594,178.99974060058594,0.0,0.0,-0.3673967333671578,1000,124.66939806938171
5880.0,49,"[-3.5271919745938395e-05, -0.0005736270322705612, -5.874190156793886e-05, -3.206281662492451e-05, 2.988770359885916e-06, -4.366421921698444e-06]","[0.0, 0.0, 0.0]",0.0,"[-6.546870067546596e-05, -0.000521342589813067, -2.5671247113564588e-05, -6.180309281399486e-05, 4.051400968899387e-07, -5.275817487775078e-06]",178.99974060058594,178.99974060058594,0.0,0.0,-0.3658588724529297,1000,128.31061482429504
